,Id_Target,Id_Source,communityid_Target,communityid_Source,betweenness_centrality_Source,betweenness_centrality_Target
5760,215632349,1081375274472591361,2.0,3.0,130723.49252300001,4958323.6578
5764,215632349,1121808544377053185,2.0,3.0,10440.471871,4958323.6578
5769,215632349,1178019071821877250,2.0,3.0,227959.78201300002,4958323.6578
5771,215632349,1197389912821116929,2.0,1.0,54746.628616999995,4958323.6578
5783,215632349,1258501542933483520,2.0,3.0,133336.913068,4958323.6578
5787,215632349,1299517391240671233,2.0,1.0,36189.065583999996,4958323.6578
5806,215632349,1392927838001459201,2.0,3.0,106266.56469700001,4958323.6578
5810,215632349,1408262420640960512,2.0,3.0,23859.650992,4958323.6578
5818,215632349,1430883215439540230,2.0,3.0,35375.195932,4958323.6578
5823,215632349,1446352422272528385,2.0,1.0,3781095.477936,4958323.6578
5851,218952640,2321539819,10.0,1.0,114750.246462,331453.00487600005
5852,218952640,2548489298,10.0,2.0,120526.500806,331453.00487600005
5869,234550882,12034642,1.0,3.0,210175.768781,295135.734099
5871,234550882,15677734,1.0,2.0,389040.22610100004,295135.734099
5883,234550882,188240446,1.0,3.0,21599.384509,295135.734099
5884,234550882,302984766,1.0,2.0,57033.37171,295135.734099
5919,237281828,1446352422272528385,3.0,1.0,3781095.477936,4166.0385479999995
5988,248866864,540103190,3.0,1.0,184861.84582000002,181041.594434
6005,248866864,1446352422272528385,3.0,1.0,3781095.477936,181041.594434
6013,249221867,3865577362,1.0,4.0,161236.514169,97614.675481
6031,256360738,90680886,3.0,1.0,61766.184609,433765.773983
6032,256360738,121949981,3.0,6.0,20754.342866,433765.773983
6067,256360738,711980580813066240,3.0,2.0,736622.894841,433765.773983
6070,256360738,1008103433822351360,3.0,6.0,26979.952526999998,433765.773983
6101,256775505,1415746394871189504,1.0,2.0,111886.493272,51363.824534
6155,266048357,769165632738762752,6.0,3.0,211451.146976,273870.988821
6167,266855812,15333188,2.0,3.0,254699.903136,909183.2264719999
6169,266855812,16213179,2.0,1.0,232512.70361799997,909183.2264719999
